energy;wepl;expected mean;mean;expected sigma;sigma (fwhm);sigma (fwtm);sigma (fwqm)
108; 1; 87.2532; 85.8656; 3.86893; 2.82378; 3.89597; 3.88889
108.5; 1; 87.9549; 86.104; 3.89713; 2.37792; 3.54179; 3.78378
109; 1; 88.6566; 86.6699; 3.92509; 2.2293; 2.95149; 3.88889
109.5; 1; 89.3583; 87.7473; 3.95297; 2.2293; 3.06955; 3.15315
110; 1; 90.06; 89.598; 3.98087; 2.52654; 3.42373; 3.57357
110.5; 1; 90.8103; 89.8344; 4.00821; 2.82378; 4.01403; 3.99399
111; 1; 91.5606; 90.3785; 4.03555; 2.52654; 3.77791; 3.78378
111.5; 1; 92.311; 90.5697; 4.06297; 2.82378; 4.01403; 4.0991
112; 1; 93.0613; 91.4773; 4.09064; 2.2293; 3.30567; 4.30931
112.5; 1; 93.8117; 93.3679; 4.11829; 2.37792; 3.65985; 3.78378
113; 1; 94.5621; 94.0025; 4.14597; 3.12102; 4.13209; 3.99399
113.5; 1; 95.3125; 94.2399; 4.17365; 2.9724; 4.25015; 4.30931
114; 1; 96.063; 94.7262; 4.20131; 1.93206; 2.83343; 3.88889
114.5; 1; 96.8134; 95.4816; 4.22897; 2.37792; 3.18761; 4.0991
115; 1; 97.5639; 97.0514; 4.25664; 2.37792; 3.65985; 3.67868
